CC,Site,PID,ICRAFPID,Lon,Lat
GN,Boumeoul,GN-aEVWfj,Boumeoul-3-1,-13.174048,11.942727
GN,Fria,GN-ARMPB3,Fria-13-1,-13.363063,10.471982
GN,Fria,GN-BlKkXw,Fria-11-3,-13.380262,10.521368
GN,Boumeoul,GN-dKGLKT,Boumeoul-16-10,-13.105413,11.963958
GN,Fria,GN-fFWHDi,Fria-5-1,-13.400552,10.477555
GN,Boumeoul,GN-GLd4fd,Boumeoul-8-1,-13.153175,11.96197
GN,Boumeoul,GN-hO9dKV,Boumeoul-1-1,-13.173877,11.901328
GN,Boumeoul,GN-I7bBOl,Boumeoul-12-1,-13.129793,11.967822
GN,Fria,GN-jrnVsA,Fria-3-5,-13.432997,10.518867
GN,Fria,GN-ls8KYI,Fria-2-2,-13.422322,10.497298
GN,Boumeoul,GN-N7RbaE,Boumeoul-14-1,-13.107235,11.928223
GN,Fria,GN-nrRS3g,Fria-16-6,-13.357877,10.54417
GN,Fria,GN-ow5syh,Fria-7-2,-13.401268,10.524305
GN,Fria,GN-ps8oWo,Fria-8-3,-13.410885,10.533272
GN,Boumeoul,GN-pTs65U,Boumeoul-5-1,-13.15499,11.907482
GN,Boumeoul,GN-q3x3Ui,Boumeoul-4-5,-13.176293,11.96982
GN,Fria,GN-qrhWoa,Fria-10-1,-13.380635,10.491285
GN,Fria,GN-RA4G8M,Fria-12-4,-13.383278,10.540488
GN,Boumeoul,GN-rRddj3,Boumeoul-15-11,-13.112207,11.950435
GN,Boumeoul,GN-tQESUv,Boumeoul-11-5,-13.134832,11.947127
GN,Boumeoul,GN-TzEDSH,Boumeoul-9-2,-13.13042,11.905108
GN,Fria,GN-ULMdM7,Fria-6-7,-13.404402,10.501978
GN,Boumeoul,GN-UxTzTh,Boumeoul-13-1,-13.107555,11.89474
GN,Boumeoul,GN-VB4w6X,Boumeoul-2-1,-13.175328,11.916007
GN,Fria,GN-w2Nikw,Fria-15-5,-13.357778,10.515752
GN,Fria,GN-wqCjb8,Fria-14-1,-13.361028,10.493472
GN,Boumeoul,GN-wZ0vzM,Boumeoul-10-2,-13.13387,11.928245
GN,Boumeoul,GN-xuLmEj,Boumeoul-6-2,-13.152722,11.921952
GN,Fria,GN-ZKmFUl,Fria-9-1,-13.373638,10.47709
KE,Marafa,KE-0sEJ1h,Marafa-4-1,39.516327,-2.607882
KE,Marafa,KE-1iEia9,Marafa-6-1,39.536675,-2.644163
KE,Marafa,KE-2JNn6J,Marafa-2-1,39.513256,-2.645968
KE,Mbalambala,KE-397W95,Mbalambala-10-1,39.034988,-0.13617
KE,Morijo,KE-56jsAj,Morijo-12-1,35.818054,-1.684078
KE,Mbalambala,KE-658PLI,Mbalambala-6-10,39.010712,-0.129155
KE,Morijo,KE-8TUedB,Morijo-3-1,35.780724,-1.705958
KE,Morijo,KE-9iSCsU,Morijo-1-1,35.774685,-1.759308
KE,Marafa,KE-ah0lSl,Marafa-10-1,39.550106,-2.642183
KE,Marafa,KE-AxgFP5,Marafa-1-2,39.514431,-2.664698
KE,Mbalambala,KE-BW3Zjm,Mbalambala-11-1,39.037678,-0.106482
KE,Mbalambala,KE-cBaGCY,Mbalambala-5-1,39.018524,-0.15258
KE,Mbalambala,KE-CtEBp3,Mbalambala-2-10,38.991169,-0.129948
KE,Morijo,KE-ctIqDc,Morijo-6-1,35.800423,-1.73061
KE,Morijo,KE-dnqzsQ,Morijo-7-1,35.805016,-1.704128
KE,Mbalambala,KE-EBbAyQ,Mbalambala-3-2,38.988918,-0.102418
KE,Mbalambala,KE-ebNd0I,Mbalambala-13-1,39.060013,-0.154933
KE,Morijo,KE-eI2ykq,Morijo-13-1,35.845112,-1.758102
KE,Morijo,KE-EqHyMI,Morijo-8-1,35.806606,-1.68291
KE,Mbalambala,KE-f3fwtW,Mbalambala-16-1,39.064034,-0.091448
KE,Morijo,KE-gJxRgU,Morijo-15-1,35.841591,-1.708445
KE,Marafa,KE-Id7FbE,Marafa-13-1,39.576244,-2.667312
KE,Marafa,KE-JbRnAA,Marafa-3-1,39.514359,-2.623347
KE,Mbalambala,KE-jDSYFw,Mbalambala-7-1,39.015121,-0.104105
KE,Marafa,KE-jwGqNL,Marafa-11-1,39.552685,-2.619657
KE,Morijo,KE-Keed8P,Morijo-10-1,35.812714,-1.730845
KE,Marafa,KE-KFBZOs,Marafa-9-1,39.554768,-2.671965
KE,Mbalambala,KE-kZdH1c,Mbalambala-1-1,38.990334,-0.150345
KE,Morijo,KE-mAITq9,Morijo-11-1,35.823856,-1.706672
KE,Morijo,KE-MXoWjE,Morijo-2-1,35.775276,-1.730332
KE,Marafa,KE-Nxosdi,Marafa-16-1,39.581993,-2.603463
KE,Morijo,KE-oG3PhS,Morijo-5-2,35.797489,-1.74951
KE,Morijo,KE-QBk0t1,Morijo-16-1,35.853977,-1.687655
KE,Mbalambala,KE-qfzsYL,Mbalambala-9-1,39.040543,-0.148253
KE,Marafa,KE-QO0EbZ,Marafa-15-1,39.577393,-2.620392
KE,Marafa,KE-rrrbNz,Marafa-14-2,39.578979,-2.645568
KE,Morijo,KE-RV7fks,Morijo-14-1,35.844856,-1.73155
KE,Mbalambala,KE-TSErVB,Mbalambala-15-10,39.059078,-0.104208
KE,Mbalambala,KE-Ux2A81,Mbalambala-2-1,38.990215,-0.126043
KE,Marafa,KE-WeOSSi,Marafa-7-1,39.532536,-2.622082
KE,Marafa,KE-WJeQjV,Marafa-5-2,39.537735,-2.669812
KE,Marafa,KE-WrMMZa,Marafa-12-1,39.56488,-2.601027
KE,Morijo,KE-XwPl91,Morijo-9-1,35.821182,-1.747637
KE,Morijo,KE-XyyJIf,Morijo-4-4,35.778095,-1.689052
KE,Mbalambala,KE-y6oCI1,Mbalambala-15-2,39.056541,-0.109038
KE,Mbalambala,KE-Y9y0vq,Mbalambala-6-1,39.014431,-0.127145
KE,Marafa,KE-yTMNy2,Marafa-8-1,39.537601,-2.598493
KE,Mbalambala,KE-zzN1G9,Mbalambala-14-1,39.057957,-0.137943
MG,Didy,MG-4GVBYp,Didy-1-1,48.6935,-18.3471
MG,Analavory,MG-5WqN56,Analavory-8-1,46.658112,-18.958817
MG,Analavory,MG-60L4Ao,Analavory-11-1,46.681078,-18.980003
MG,Analavory,MG-8w8pz1,Analavory-2-1,46.629129,-19.006766
MG,Didy,MG-aVpcpe,Didy-13-1,48.7558,-18.3387
MG,Analavory,MG-AVS5I9,Analavory-14-1,46.697128,-19.007042
MG,Didy,MG-bRFVjv,Didy-4-1,48.6875,-18.2759
MG,Analavory,MG-CXa3r6,Analavory-10-1,46.677495,-19.002544
MG,Didy,MG-e3VmsC,Didy-3-1,48.692,-18.2959
MG,Analavory,MG-elC0QP,Analavory-1-2,46.636952,-19.021194
